processed_text;label
aplikasi tidak jelas email sendiri tidak bisa malah muncul contoh testingemail gilir coba testing email bisa masuk suruh verifikasi email email email testing tidak jelas;-1
bagus saran depan lebih tingkat nomor terima hanya bisa cantum nomor harus minimal nomor dapat cantum mudah kurir terima data kurir nama nomor telp lacak kurir tidak bisa akses tidak notifikasi paket surat antar lebih bagus tingkat;1
tanya verifikasi email hal aneh kata gmail bukan verifikasi pihak digital id;1
masuk daftar angel;0
aplikasi jelek waktu daftar foto ktp profil tidak sesuai daftar gin waktu bayar uang kami klen ambil surat surat tidak rek;-1
syukur bantu baru coba nyata amanah cuma proses kirim lumayan lama;1
tanggal tidak bisa laku bayar padahal dapat kode bayar info suruh kembali pukul begitu sampai;-1
terima kasih;1
sulit sekali verifikasi foto muka tolak tidak ktp terang;-1
sulit sekali verifikasi foto ktp mohon baik;-1
kode otp tidak kirim;-1
aplikasi hanya bayar bukan terbit panjang stnk ambil stnk samsat dekat masih urus berkas urus pajak kendara manual;-1
bantu;1
mudah bantu;1
bayar signal pertama ongkir proses sampai ongkir naik proses kirim hr layan bagus mahal ongkir biaya masih lebih baik ongkos biro jasa;-1
harus foto ktp selfie kode otp tipu;-1
bagus cukup bantu tingkat layan;1
mantap;1
hemat waktu tenaga meski lebih mahal sedikit tidak sukses aplikasi signal tahan;1
mantap kerja stnk fisik sampai rumah kena razia bukti kesah digital sblm stnk asli;1
manfaat sekali tidak perlu repot repot datang samsat mantap;1
mantap baru aplikasi supaya tidak antre samsat metode bayar banyak pilih bagus;1
mantap signal sukses makin tingkat layan ok awal sampai akhir mantap buat pos indonesia kirim paket;1
awal sulit masuk ulang verifikasi email gagal penuh sabar ulang ulang akhir sampai rumah tepat waktu;-1
bantu stempel;0
mantap tidak repot urus;1
mantap bantu berantas calo bayar unit bulan lancar depan moga sedia layan balik nama mutasi;1
mantap tambah mudah bayar pajak;1
bagus;1
syukur signal samsat buat kerja makin gampang bantu;1
mudah cepat terima kasih signal samsat digital nasional kembang ide kreatif mudah warga urus tanpa antre;1
cepat bagus;1
salam layan makin baik jaya salam sehat seng;1
mudah praktis hemat waktu;1
bayar dana gagal tolong baik kode bayar info masalah;-1
bantu;1
mantap bantu motor plat luar kota mudah cepat efisien stnk;1
bagus lancar mudah;1
stnk milik nama orang instansi bos;0
mantap cepat selesai tanpa perlu antre kesah rasa stiker hologram ganti;1
bantu sekali kirim berkas lambat mohon tingkat kembali terima kasih;1
bagus bagi orang tidak urus samsat;1
sulit banget buat verifikasi foto padahal sesuai ktp tidak valid mulu heran;-1
jelek;-1
bisa balik nama kendara aplikasi;0
bagus;1
proses bayar gagal coba lalu mobile banking bsi gagal;-1
syukur sampai tidak sangka kirain bakal lama nyata cepat sampai terima kasih;1
usaha daftar tidak bisa alas foto ktp verifikasi foto beda mohon tanggap;-1
mantap;1
waktu foto cocok foto ktp tidak pernah bisa aneh padahal muka lebih coba tidak bisa solusi tidak;-1
terobos bagus harap kantor perintah guna aplikasi seperti;1
mantap bantu manfaat aplikasi bayar pajak kendara motor;1
moga depan lebih mudah masyarakat layan lebih baik;1
bisa balik nama beli motor bekas punya jauh tidak punya ktp;0
mantap mudah lancar kirim rumah;1
mantap bantu tidak usah antre;1
stnk sampai alamat tuju waktu bayar bantu sekali aplikasi pasti percaya terima kasih;1
bantu sedang luarkota tidak perlu repot harus samsat kota asal bayar pajak antre panjang moga aplikasi layan makin bagus;1
praktis;1
bantu sekali signal mantap;1
sulit bener foto ratus gaya jam lebih masih kata tidak sesuai sm ktp aduh;-1
semangat;1
bantu tunggu inovasi;1
kurang kaga bisa bisa buat bayar pajak parah;-1
aplikasi mudah paham bantu bayar pajak kendara motor moga makin maju layan indonesia masyarakat indonesia peduli wajib pajak terima kasih;1
bantu lebih baik serba digital;1
terima kasih signal urus mudah;1
aplikasi bantu bisa bayar pajak motor utama bagi domisili luar kota cuma proses agak lama moga lebih tingkat proses hr kerja bisa penuh kerja;1
mantap;1
daftar kesah stnk tidak dapat proses anda perlu verifikasi nik data samsat sering bayar pajak baru nyata nik belum verifikasi;-1
terima kasih atas bantu aplikasi signal;1
aplikasi bisa bayar pajak ganti plat nomor tahun;0
kurang bantu bintang tambah jika bisa bayar pajak tahun bukan kendara alias kendara bukan atas nama;-1
bisa bayar pajak beda pulau misal provinsi;0
syukur lancar akurat;1
unduh buat coba bayar pajak motor beda tidak bisa suruh samsat nanya sosmed suruh samsat daring;-1
transaksi daftar kesah stnk tidak bisa laku bug sistem kirim samsat tidak muncul kode pos samsat jasa kirim tidak muncul;-1
bagus terobos inovasi laku oleh polri pemda moga polri makin jaya;1
keren aplikasi benar benar mudah wajib pajak laku wajib mantap samsat mantap polisi mantap dispenda;1
daftar aplikasi sulit tulis email salah padahal bener tulis seperti email daftar harus tanpa nomor padahal email kata nomor tidak bisa daftar masuk;-1
mantap proses cepat kirim cepat terima kasih signal bantu buat domisili jauh samsat lebih tingkat bisa daftar gmail lebih mudah;1
bantu tidak repot antre;1
parah daftar unggah foto gagal tidak jelas aplikasi;-1
daftar sulit hapus tidak usah unduh;-1
aplikasi tidak mutu masa foto ktp foto ambil tidak sesuai;-1
gagal tahap verifikasi email padahal benar email belum kirim lama masih kalah cepat verifikasi pinjol;-1
sulit sulit;-1
praktis layan daring buat urus tidak perlu antre samsat hindar kerumun;1
keren banget mah gitu tinggal zaman teknologi canggih manfaat canggih teknologi moga pajak tahun sim bisa panjang aplikasi signal batas waktu bayar terlalu singkat bisa batas waktu bayar jam terima kasih mantap polisi indonesia;1
bantu sekali cara daring mudah paham;1
bantu proses cepat mudah;1
awal tidak coba hasil akhir mantap daftar pagi telpon pihak pos siang bukti bayar pajak terima terima kasih signal lanjut pelihara sistem mantap;1
jujur aplikasi bantu cuman hal seperti notifikasi maintenance toko aplikasi tidak bisa optimal kembali bagi sebut terima kasih;1
bagus;1
tidak bisa daftar foto wajah ktp tahun tara foto tahun jelas beda aplikasi dulu samolnas lebih gampang daftar bayar pajak sulit tidak bayar bayar pajak denda;-1
mudah cepat aman enak harus samsat pasti lebih murah daring datang;1
keren mantap tinggal tahun kaya gesek bisa dokumen minyak screen shot kirim plat bisa kurir lanjut pungli calo kurang semangat;1
mudah aplikasi bener bisa bayar pajak kendara supaya tidak repot harus kesana kemari;1
sempurna tidak perlu biro jasa;1
bagus kerja bantu;1
proses bagus cara digital mudah proses tidak mesti dtg samsat harus perhati kirim paket lama padahal kota daftar kirim sampai pun dapat resi aplikasi signal tidak update pos keluar resi baru kode alamat resi baru tidak sesuai resi aplikasi signal kirim kota tidak kerja;1
mudah;1
daftar malah masalah koneksi internet padahal sinyal penuh buka aplikasi bisa;-1
puas;1
aplikasi benar bantu moga depan maju lanjut terima kasih;1
daftar sulit sekali muncul foto ktp anda tidak sesuai foto selfie padahal coba hasil padahal unduh aplikasi harap bisa bayar pajak mudah tanpa harus samsat;-1
bantu sekali pandemi covid;1
bagus sekali harus gin bayar pajak kendara tidak sulit;1
layan cukup bagus cuma kirim lama banget prediksi nyata baru sampai stnk;1
terima kasih bantu bapak era digital;1
mudah cepat;1
aplikasi signal tidak dapat proses pkb stnk jatuh tempo;0
aplikasi cukup bantu cara transaksi mudah percaya mungkin lebih baik user bisa print sendiri bukti bayar nyata laku jalan bukti pajak kirim rumah sehingga user tidak perlu samsat cetak manual sukses polda metro jaya;1
masa verifikasi sulit amat foto ktp rambut panjang verifikasi rambut buruk masa tidak bisa harus tunggu panjang aplikasi buruk;-1
aplikasi buruk verifikasi email buka email malah link kadaluarsa males aplikasi otomatis hapus;-1
bayar pajak gampang tidak perlu antre tidak perlu bayar parkir kantor perintah parkir aneh tinggal cocok data bayar mobile banking tinggal tunggu rumah;1
lumayan praktis tidak perlu antre pagi bayar siang sampai;1
terima kasih sukses;1
gerak cepat;1
aplikasi tidak bisa buat daftar akun daftar harus telepon masukin biasa tidak bisa;-1
mudah terima kasih signal moga bisa tingkat layan;1
aplikasi lihat bagus guna canggih sayang robot canggih ktp orang padahal anggap beda;-1
mantap;1
bantu sekali proses cepat tidak sampai sampai rumah bukti cetak pajak stnk;1
ok banget tidak perlu antre moga makin baik;1
verifikasi sulit amat foto terang cahaya masih tidak bisa verifikasi;-1
terima kasih bantu waktu kirim kerja bisa lebih cepat kirim;1
kirim dokumen lama;-1
lebih cepat selesai banding pergi samsat bantu sekali terima kasih;1
bagus;1
hanya lebih tidak perlu antre samsat tetapi masih perlu bawa bpkb stnk ktp asli fotocopy terima kasih;1
terima kasih signal inovasi bagus praktis;1
bantu;1
bantu sekali terima kasih;1
bagus bantu terima kasih signal;1
bantu sekali bayar pajak tidak harus datang samsat proses cepat terima kasih;1
lumayan;1
baru pertama guna aplikasi mudah sekali apalagi jasa antar rumah;1
simpel mudah guna;1
bantu kerja tidak usah izin kantor mantap;1
benar mudah tanpa harus antre kantor samsat antar wilayah layan lama banget stnk baru kirim bulan lama padahal selesai aju tanggal stnk baru sampai kemarin moga layan makin tingkat;-1
proses verifikasi sulit sekali padahal foto ktp;-1
tidak sulit;0
bantu jika stnk habis lalu daring terima kasih jajar polisi beri masyarakat mudah panjang stnk lalu daring;1
aplikasi bagus tingkat aplikasi;1
mantap;1
benar sekali lebih mudah bantu urus bayar pajak kendara maju;1
mantap mudah dapat promo terima kasih signal;1
syukur cepat efektif efisien;1
bagus tidak sulit;1
belum terima paket pos anggap selesai;-1
foto puluh verifikasi gagal salah akun orangtua gagal;-1
gagal verifikasi foto tidak orang wajah tidak ubah apalagi ktp bela umur hidup buat tahun lalu;-1
nominal harus bayar tidak lihat kami tahu angran harus bayar kami tinggal desa batas akses atm terima kasih;-1
simpel harus seperti layan publik indonesia moga layan bisa daring seperti;1
coba;0
praktis mudah;1
buat kode pertama laku bayar tidak laku kode tidak temu coba bank aplikasi dana tidak bisa akhir buat kode pertama kadaluarsa hasil masih tidak bisa bayar kode masalah hubung live otp tidak sambung agen live chat hanya robot meladenin haduh;-1
saran guna elektronik lebih cepat lebih baik;-1
ok proses lancar hasil cepat terima kasih;1
tanpa antre datang samsat;1
nanya bayar pajak kendara motor samsat kabupaten landak bisa mohon info terima kasih;0
mantap mantap tiba rumah surat pajak;1
bayar rada sulit kata bisa bukalapak pilih tidak bayar signal karyawan rada tidak paham tentang signal mesti jelasin dulu paham sistem maintenance bayar signal kompas kata bisa nyata tidak pilih akhir hanya blibli sukses batas waktu bayar mepet sekali cuma jam;-1
mantap gandos payah duit;-1
aplikasi mantap bagus bantu panjang stnk tanpa datang fisik pandemi covid tinggal rumah selesai terima kasih polri;1
mudah bantu kirim cepat terima kasih;1
cepat cara kerja;1
mudah bayar pajak kendara;1
proses cepat tingkat;1
verifikasi gagal padahal ktp wajah;-1
seperti masyarakat bisa taat pajak lebih simpel;1
terima kasih signal bantu banget luar kota milik anak kecil bintang daftar proses cepat mudah tidak terima kasih banyak;1
baru unduh tidak sempat samsat bayar via dana tidak bisa coba bukalapak tidak bisa alhasil tidak bisa kata kasir aplikasi tidak bisa tolong bantu coba tidak bisa;-1
mantap bantu cuman saran mungkin lebih mudah proses bayar banking aplikasi terima kasih ucap polri;1
bayar pajak tahun mudah syukur bantu bagi kami kerja kantor tidak sulit antre kumpul ruang kirim ekspres banget pos sampai cuma ongkos kirim lumayan mahal tambah uang moga bisa layan bayar seperti panjang sim pajak tahun;1
keren aplikasi sibuk tidak bisa datang samsat terima kasih;1
sampai rumah mantap;1
proses mudah bantu tanya belum jawab bukti kesah ganti cap paraf kotak stnk kata stiker tidak dapat terima kasih;1
dapat otp sulit sekali minta tidak dapat dapat;-1
mantap kabupaten bekas cepat;1
bisa bayar rumah tanpa perlu antre samsat cuma kirim berkas kesah agak lambat tingkat;1
bayar pajak via digital hemat biaya transportasi terobos bagus mantap polri;1
mantap proses cepat;1
bantu sekali hemat wp uang negara;1
ok;1
terima kasih manfaat bisa bantu sulit keluar;1
aplikasi bagus tidak perlu lelah antre stnk datang rumah proses cepat mantap poko;1
mantap praktis sumpah panjang pajak tahun nyaman umur hidup;1
berkat aplikasi mudah bayar pajak jauh terima kasih signal aplikasi;1
fyi cara tonton youtube aplikasi intruksi proses kurang lebih selesai luar tgl merah libur terima pos hanya stnk kesah mesti print qr aplikasi signal agak sulit saran coba aplikasi kasih catat tata cara buat akun pesan supaya tidak bingung orang gaptek awam waktu bayar tolong tambah kasi cuma jam orang mesti buru atm terima kasih;0
sulit sekali verifikasi;-1
aplikasi mudah guna efisien kirim sampai terima kasih;1
bantu kurang tumpu orang antre lanjut ganti plat sim bisa daring bisa panjang sistem signal;1
mantap cepat bantu;1
bantu sekali sesuai kembang jaman digital;1
mudah bayar pajak bagi domisili luar riau;1
mudah guna mantap tidak perlu antre hanya kirim pos rumah cukup lama maklum bukan jasa kirim swasta pasti beda;1
mudah akses bisa bayar daring lebih tingkat layan bagus;1
verifikasi scan wajah sulit tengah mampus;-1
daftar gagal terang ktp tidak sesuai muka;-1
nrkb digit akhir nomor rangka benar masih tidak bisa daftar;-1
tidak bisa verifikasi wajah ktp sulit sulit gagal mulu;-1
tanya pajak mobil tahun mahal sampai juta bisa bantu;0
aplikasi bantu sekali cuman saran bagus banyak kerjasama layan kirim jangan pos surat pajak tahan kantor pos sampai pos lambat banget tindak lanjut walaupun lapor butuh lapor baru bisa gerak;1
bagus bayar pajak tahun aplikasi bebas antre cuma kirim agak lama bisa pajak tahun bisa bayar aplikasi terima kasih;1
foto ktp tidak sesuai terang;-1
aplikasi mantap data sesuai sungguh moga nanti bayar pajak bisa via aplikasi;1
bantu tidak repot urus dokumen;1
aplikasi bantu stnk terima;1
mantap tidak harus pulang;1
biaya tambah laku bayar cara daring lalu mandiri;-1
coba unduh masuk daftar tidak bisa masuk nomor hp nomor masuk tidak daftar ganti nomor tidak daftar bingung layan samsat daring tidak ngerti;-1
aplikasi sibuk bayar batal;-1
bayar kemudian stnk sampai rumah kota bekas terima kasih signal;1
bantu hanya daftar foto gagal kembali mula moga makin lebih baik;-1
tanpa kendala terima kasih;1
bantu bayar pajak lebih mudah;1
mantap bayar pajak motor tidak perlu repot samsat bisa rumah isi data menit bayar dapat promo stnk kemudian sampai rumah kirim via pos indonesia mantap samsat;1
baru kurang sosialisasi daerah bisa guna bisa kurang buang buang waktu antre samsat;1
kirim masih cukup lama sampai terima kalender;-1
bantu terima kasih;1
suruh cek email verifikasi tidak pesan masuk email waktu meped;-1
signal ok bantu bayar daring jarak jauh cuma kecewa kirim pt pos notabene punya perintah masa antar camat kirim sampai pos kerja lambat kecewa;1
verifikasi ktp foto sulit belum kurus gendut tidak bisa erti;-1
verifikasi gagal mulu bapak ktp foto profil beda begitu rusak aplikasi bantu;-1
bantu banget tidak perlu antre apalagi calo mantap;1
verifikasi email sulit coba ubah profil tidak bisa;-1
proses cepat;1
motor bukan data pribadi bisa panjang tidak stnk soal punya motor bekas beli orang surat lengkap;0
bagus kerja mantap proses mudah cepat terima kasih signal;1
baru pertama aplikasi signal mudah bayar lancar kirim cepat moga depan lancar rekomendasi wajib coba aplikasi signal;1
coba bayar aplikasi keren mudah bayar cepat tidak sulit;1
bantu tinggal klik klik klik cuma tambah bayar;1
tolong baik khusus atm internet bank tidak bisa aplikasi sekali tidak dukung pajak mohon tindak lanjut;0
terima kasih bantu masyarakat bayar pajak motor tanpa antre samsat salam sehat terima kasih;1
alhamdulilah aplikasi bagus banget bantu meski luar kota bayar pajak kendara tidak perlu repot repot kantor samsat istri rumah tinggal terima bukti pajak tahun aman tahan layan syukur bisa tingkat utama kirim terima kasih;1
aplikasi verifikasi email tidak ubah verifikasi email tidak bisa buka beranda begitu klik beranda verifikasi email buruk tidak puas layan guna aplikasi;-1
terima kasih sampai rapi kirim;1
mudah cepat keren;1
bantu bagi sedang luar daerah;1
bantu bagi sedang luar daerah;-1
mudah simpel mandiri;1
daftar gilir bayar daring tidak bisa;1
niat hati ken cepat aplikasi nyata tambah lama bayar selesai pilih ambil samsat tidak kirim kuatir lama nyata ta pasuruan tempatq malah tugas bingung tidak kerjasama blg kirim pos bantah pilih ambil tugas baru cek kata masuk tunggu ok balik tidak kira bisa cetak tinggal cetak ealah suruh ngeprint dulu bukti bayar copy ktp sgt kecewa utama pihak samsat;-1
daftar kesah gilir bayar via bank malah muncul notif error pindah via dana tombol cek tagih tidak bisa klik aplikasi bisa;-1
aplikasi bantu panjang stnk tanpa sulit tanpa buang waktu layan relatif cepat singkat puas kembang layan aplikasi terima kasih;1
cara gampang tidak sulit tidak perlu antre lama samsat bayar pajak;1
stiker kesah bisa kirim selain kantor pos tidak antar pos desa masih besar harap imbal kirim rumah;1
manfaat transparan cepat terima kasih;1
mudah bayar pkb serta tingkat dapat negara;1
pajak tahun bisa plat kirim rumah;0
baik puas moga pajak tahun bisa cara daring mantap banget buat signal;1
mantap aplikasi signal mudah bagi kerja tidak waktu luang urus pajak samsat tgl bayar tgl sampai rumah antar pos terima kasih pos indonesia;1
urus pajak kendara tanpa harus keluar rumah;1
bantu rantau;1
ok;1
bayar maintenance tidak bisa bayar mobil banking belum tolong support;-1
aplikasi bagus sekali bayar via tokopedia aplikasi tidak muncul notifikasi bahwa bayar laku kesah stnk pun tidak bisa sungguh bagus banget;-1
cukup puas sampai;1
cepat mudah;1
layan sempurna bayar pajak mudah;1
mantap;1
proses terbit sampai hr kerja gapapa hemat waktu harus antre moga cepat proses moga nanti bakal bisa ganti plat aplikasi;1
puas banget layan unggah antar cepat;1
ok mantap lanjut tingkat performa terima kasih;1
moga layan konsisten baik;1
mantap;1
simpel cepat;1
daftar via daring sampai selesai antar via pos indonesia jangka waktu terlalu lama masa bayar pajak sampai baru sampai rumah berkas pajak kendara;-1
cepat tidak sulit antre tinggal klik;1
mantap mudah benar jauh nama calo pungli siap moga lebih bagus;1
mudah banget suka;1
bagus;1
moga bayar pajak kendara beda kk bisa beri opsi kendara bukan milik sendiri beda kk bisa bayar akun tidak banyak daftar akun tidak sulit daftar akun penting nik ktp daftar tidak banyak motor mati pajak kerja sulit bayar harus ktp asli milik akun milik kendara sendiri seperti aplikasi samolnas lama akun bisa buat bayar kendara beda milik beda kk;1
mohon baik aplikasi kemarin kirim alamat tuju tidak tulis lengkap singkat terima paket lama sampai datang pos indonesia ambil paket nyata cek alamat tuju tidak tulis lengkap terima kasih;-1
cukup bantu hanya motor mobil atas nama stnk sendiri buat bayar stnk nama tidak bisa moga nanti depan bisa;1
bagus transaksi ikut kirim datang;1
profesional bantu;1
layan bayar indomart tolong sedia kemarin belum link signal;1
cepat mudah nomor sulit terima kasih signal;1
bagus;1
mantap tidak sulit sambil rebah pun bisa bayar pajak;1
bantu;1
aplikasi mantap salah inovasi baik polri jaya polri;1
aplikasi bantu mudah bayar pajak terima kasih polri;1
cepat tepat manfaat;1
bagus aplikasi bantu;1
makin mudah nyaman unduh isi biodata aju panjang stnk tahun motor bayar tunggu sekira kerja stnk sampai rumah dahh malas signal moga makin jaya;1
mantap;1
bagus aplikasi;1
aplikasi bantu hal bayar pajak tahun stnk sukses samsat polri;1
laku bayar dapat konfirmasi selesai tanda bukti lunas wajib pilih ambil kantor samsat dekat samsat gianyar harus laku kantor samsat;1
cukup bantu;1
stnk sampai rumah;1
bantu harap segala lini bisa mudah seperti;1
mantap puas bayar pajak rasa layan hadir signal bayar pajak tidak harus samsat tidak buang waktu antre moga kembang maju signal bisa liput pajak stnk depan moga bisa panjang sim pajak pajak tahun;1
cara dapat kode bayar;0
mantap tingkat layan lebih gampang masyarakat bayar pajak mudah;1
moga bisa lebih tingkat cepat proses;1
aplikasi masih kurang jauh soal daftar identifikasi foto ktp kemudian terang gagal foto tidak sesuai ktp jelas beda foto masih umur sedang tidak bisa daftar;-1
sulit daftar akun pertama gagal kendala ktp tidak cocok padahal data benar mohon koreksi aplikasi baik penuh cepat aplikasi perintah masyarakat banyak kalah swasta;-1
kirim lama sekali padahal guna jasa kirim ekspres ongkos kirim pun lumayan layan tidak puas;-1
baharu tambah cara balik nama mutasi berita mutih mungkin makin banyak orang urus pajak kendara tanpa antre verifikasi;1
terima kasih aplikasi cukup baik hanya waktu bayar bsi malam ganggu nyata coba mandiri lancar saran baik kode bayar email tutup mesti buat aju baru isi alamat ongkir alamat turut agak mahal dalem kota mungkin lebih jangkau supaya bayar pajak tambah hemat semangat;1
aplikasi jelek segi user alam tidak tidak kasi jelas kata sulit paham ajar bingung buat orang awam banyak kalimat panjang titik tidak haduh parah sistem error mulu anggar;-1
rekomendasi buat rantau tidak usah balik kampung cari samsat tinggal bayar banking gerai walau ongkir lumayan mahal layak it tidak perlu antre antre ygy;1
bantu sekali kampung waktu bayar pajak rekomendasi;1
tidak naik rating sblum adil layan samsat;-1
bantu;1
cepat sekali proses wilayah kabupaten bogor jawa barat coba coba panjang daring pagi takut proses kirim lama nyata sampai cetak stnk pos khusus biaya lumayan ongkir rban tidak layan cepat simpel cukup rumah tidak perlu samsat kecuali rumah dekat samsat samsat daring moga makin baik mudah layan;1
