id;nama_pengguna;tanggal;skor;ulasan;label
15;Desty Selvia;17/03/2022 17:30;1;"Saya baru saja download,,di karenakan gx sempet mau ke samsat.. tapi kenapa pas saya mau bayar via dana gx bisa ya,, terus saya coba pkai bukalapak ttep gx bisa,, alhasil saya ke indomaret.. eeh tetep gx bisa.. kata kasir indomaret'a aplikasi'a gx bisa.. kenapa itu min ? Tolong di bantu lah..udh brp x nyoba ini gx bisa"" ・EE・EE・EE､";-1
16;Achmad Khoiri;16/03/2022 19:25;1;Foto saya dan ktp tidak sesuai terus keterangannya;-1
17;adriel evan;16/03/2022 13:45;1;Verifikasi gagal mulu, bapak/ibu..!!! KTP dengan foto profil berbeda.!!! Selalu begitu.!!! Rusak atau gimana ne apk..??!! Bantuan na dong..???!!!;-1
18;Edward Silaban;16/03/2022 8:34;1;Aplikasi apa an ini ??? Sdah 1 Minggu Verifikasi Email terus Gak ada perubahan , terus terusan verifikasi email. Gak bisa di buka yang ada di beranda , begitu di klik yang di beranda , langsung verifikasi email. Buruk dan tidak puas pelayanan menggunakan aplikasi ini..・EE・EE・EE・EE;-1
19;abdul rohim;15/03/2022 19:10;1;Mau bayar pakai indomaret udah 2x selalu maintenance terus, gak bisa bayar. Mau pakai mobil banking untuk bca belum ada, tolong supportnya min;-1
20;Syamsul Ma'arif;15/03/2022 18:57;1;Aplikasi yg sangat bagus sekali. Saya udah bayar via Tokopedia. Tapi di aplikasi ini gak muncul notifikasi bahwa saya sudah bayar. Pas mau melakukan e-pengesahan STNK pun gak bisa. Wooow, bagus banget!!!;-1
21;Alif Farras;14/03/2022 21:29;1;Aplikasi jelek bgt, dari segi user experience ga bgt, ga dikasi penjelasan kata2 yg sulit dipahamin, ngarahin nya jg bingung bgt buat orang awam, banyak kalimat yg panjang jadi titik2 gara2 gamuat hadeuh kacau, trus dr sistemnya jg error mulu, ini yg bikin siapa sih, anggarannya brp dah;-1
22;Fuad Nur;14/03/2022 18:41;1;Verifikasi gagal teruz;-1
23;Aulia Grindra;14/03/2022 14:08;1;Mantap udh berkali2 veriv gk bisa2 tahapa yg salah,tolong admin jgn bikin ribet pengguna;-1
24;Bagus Dp;14/03/2022 9:26;1;daftarnya ribet udah foto berulang masih suruh verifikasi mulu;-1
25;Slamet Sanusi;14/03/2022 8:31;1;syulit;-1
26;Zhafif Official;14/03/2022 1:47;1;Diaplikasi lain bisa masukin data, tapi saat coba diSIGNAL nomor kendaraan sy tidak bisa ditambahkan... Rekomendasi ktnya bagus, tapi kebalikannya, buruk;-1
27;SENDY JOELYAWAN ADHIA;13/03/2022 17:08;1;Payah OTP gak di kirimﾂｲ.;-1
28;Play With Zay;13/03/2022 12:07;1;Susah verifikasi sampai ganti email juga ngak ada email verifikasi masuk;-1
29;rucky 94;13/03/2022 9:55;1;5 tahunan apakah bisa;-1
30;Bayu Sukma adinata;12/03/2022 19:32;1;Kasih bintang satu dulu karena saya daftar selalu nggk bisa padahal kan pakai KTP saya sendiri;-1
31;Studio23 Foto video equipment rent;12/03/2022 17:36;1;Aplikasi nggak simple dan agak ribet, blum bisa daftar,, kurang mudah dan ribet.. Gagal foto muka nggak bisa daftar.. Di permudahlah,, org mau bayar pajak malah di persulit....;-1
32;Muhammad Idris;12/03/2022 17:33;1;Saya sudah melakukan pembayaran tp tidak bisa cek status enatah kemana itu duit;-1
33;AgusYN;12/03/2022 14:29;1;Tidak bisa melakukan pembayaran via transfer bank untuk wilayah kalimantan tengah;-1
34;sul kifli;12/03/2022 4:50;1;dari kemari tekan tombol pengesahan STNK jawabannya TIDAK BERHASIL DIDAFTARKAN (PENDAFTARAN PENGESAHAN STNK TIDAK DAPAT DIPROSES SILAHKAN KE SAMSAT ATAU HUBUNGI CALL CENTRE KAMI) mohon bantuannya;-1
35;RIKI FEBI HARTANTO;11/03/2022 21:55;1;Mau daftar akun nggak bisa,;-1
36;NAMAband 18;11/03/2022 19:04;1;Saya bayar lewat indomaret dan katanya mentance signal suruh datang lagi jam 8 pagi kalau malam tidak bisa di lakukan transaksi kenapa di aplikasi nya tetap dikasih waktu 2jam lawong sudah jelas tidak bisa transaksi malam pihak signal kurang kopi;-1
37;Andrean Drew;11/03/2022 9:09;1;proses ternyata lambat, sy kira kalau sdh bayar dr aplikasi ini tinggal dtg ngambil surat pajak aja, ternyata pas dtg mau ngambil surat pajak eh uang transferan nya blm masuk di kas daerah padahal sy sdh transaksi dr 5 hari sblm nya. note : untuk di daerah sy blm ada fasilitas di antar kerumah, jd sy ngambil sendiri ke kantor samsat;-1
38;ucox dogiel;11/03/2022 1:28;1;apk lol,ferivikasi wajah aja gagal terus. masak gak kenal foto asli sama yg di ktp kan lol kali;-1
39;Fahruddin 13;10/03/2022 16:58;1;Verifikasi ktp dan wajah selalu gagal;-1
40;Rizki kurniawan Pratama;10/03/2022 15:02;1;Masa daftar vermuk 40 x g bs... Alesan g seuai...;-1
41;Rifky Firdaus;10/03/2022 13:39;1;verifikasi ribet bat poto udh jelas gagal trs;-1
42;Andrian hadi wijaya rian;10/03/2022 11:19;1;payah;-1
43;Husnul Mabrur;10/03/2022 10:59;1;Uang saya terbuang percuma sudah dibayar dan saldo sudah berkurang tapi status diaplikasi pembayaran gagal sudah hubungi cs lwt email dan beberapa sosmed sudah 1 minggu tidak ada tanggapan aplikasi sepenting ini kalah sama aplikasi ecommers yg cepat tanggap melayani keluhan pelanggan;-1
44;Nicolaus Gedhy;10/03/2022 9:21;1;Ini bagaimana kok kalau mau upload foto terjadi kesalahan terus...bagaimana solusinya?;-1
45;Alvin Saputra;10/03/2022 8:43;1;Apk gk jls;-1
46;Adi Berta Setiawan;09/03/2022 22:37;1;Verifikasi selalu gagal padahal udah berulang kali;-1
47;Muhammad Nur alim;09/03/2022 22:23;1;Apk tolol masa foto ktp ku sama wajah yang sekarang gak sama yang jelas ya berbeda lah tu foto ktp dari tahun 2017 mau disama dengan taun sekarang gblok yng buat aplikasi;-1
48;Samut Bakaraut;09/03/2022 17:01;1;Saat daftar STNK gak bisa di proses ・EE・EE・EEｩ, disuruh ke samsat, percuma dong aplikasinya;-1
49;lie nie jauw;09/03/2022 16:06;1;App jelek banget foto KTP dan selfie sudah 20 x tetep dibilang foto profile tidak sama.;-1
50;Michael Bryant;09/03/2022 15:12;1;semua sudah selesai prosesnya, tapi pada saat saya mau cetak di kantor Samsat tidak bisa katanya belum terdaftar padahal semuanya sukses. saya tunjukkan buktinya dari SIGNAL tetap tidak bisa akhirnya saya print sendiri di warnet. Bagaimana itu pak? tolong diperbaiki sistemnya. trimakasih ・EE・EE・EE・EE;-1
51;reski wandi;09/03/2022 12:06;1;Ndag jelas;-1
52;Motor Gp;09/03/2022 10:10;1;Kendaraan tidak bisa di tambahkan,pdhl kendaraan dan data pribadi sudah sesuai;-1
53;Dani Norma Khamzani;09/03/2022 8:29;1;Bermanfaat tapi saya kira tidak ada biaya jasa kirim krn 1 kota, dan cuma bayar tambahan 10rb buat admin. Ternyata ada dan mahal banget melebihi ongkir semarang jakarta, sopi dan si ijo aja bisa gratis ongkir malah.;-1
54;Andry Lumbantobing;08/03/2022 22:31;1;Aplikasi Lambat. Nyesel download nya. IT nya kurang gercep menangani aplikasi seperti ini. Sudah hampir 2 jam muter2 terus. Kalau bisa upload eviden. Uda saya upload kesini. Kalau memang belum layak pakai, tolong di uji dulu Jangan langsung main share harus menggunakan aplikasi. Setiap buka menu muter2 terus. Buka profile muter2 terus Kalau di bilang spek HP. Hp saya Redmi Note 9 Pro. Jadi tidak mungkin bermasalah di HP.;-1
55;Eko Wuryanto;08/03/2022 20:26;1;Katanya Nomor telepon tidak terdaftar taeeek;-1
56;Denny Prayoga;08/03/2022 16:42;1;Bayar dari ATM transaksi Gagal. Dari Blibi, no. Tidak Valid. Mau bayar pajak aja susah.;-1
57;Mahathir Septiawan;08/03/2022 14:47;1;Kenapa setiap kali saya verifikasi foto wajah selalu gagal ya;-1
58;Dodi Aprianto;08/03/2022 10:59;1;Terlalu canggih, verifikasi wajah gagal terus;-1
59;Nur Ulie;08/03/2022 9:48;1;pelayanan parah, gak tau dari samsat apa pos nya, nyesel pke bngit, pake layanan signal・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE;-1
60;Yono;08/03/2022 9:33;1;Tidak membantu dan mempermudah sama sekali.;-1
61;muhammad aufha;08/03/2022 7:46;1;data kendaraan selalu tidak berhasil ditambahkan, ujung ujungnya mesti dateng ke samsat juga, ngapain ada aplikasi ginian sih , fungsinya apa ?;-1
62;Rudy Juniardi;07/03/2022 10:20;1;Saya tidak bisa log in, karena tidak dapat mendapatkan Email konfirmasi, sampai reestart 2x app nya jg masih sama..;-1
63;Babang Goram;07/03/2022 4:35;1;Udah bayar tapi di aplikasinya belum ada pemberitahuan kalo saya sudah bayar Terus juga gabisa di proses;-1
64;Zazia A S;06/03/2022 15:52;1;Ga berguna.;-1
65;Fajar Rozaq;06/03/2022 7:39;1;Aplikasi nya nolak verifikasi KTP dan wajah coba diperbarui lagi sistem nya sudah di coba 100x ttp gk bisa soalnya;-1
66;Nunik Sayani;06/03/2022 6:59;1;Gimana sih ini uang sudah terpotong di rekening tapi status pembayaran nggak berubah! Mana duit banyak pula! Dihubungi gak ada yg respon!;-1
67;Eko Prastyo;05/03/2022 20:23;1;Apakah bisa samsat bogor;-1
68;ade meutia;05/03/2022 14:29;1;Gak bisa dipake. Validasi ktp dan foto baru lolos setelah 10x dicoba. Lolos itu pas verifikasi hp servernya error. Apa krn saya cuba saat weekend ya. kli aja weekend admin servernya jg libur ・EE・EE・EE・EE・EE・EE;-1
69;sardie iyek;05/03/2022 13:08;1;Sudah foto berapa kalipun tidak sinkron profil dengan foto katanya, trus gimana...;-1
70;Endrie Al-Qibthi;05/03/2022 12:49;1;Sudah 5 hari verifikasi gagal terus. Sehari bisa sampai 10 kali foto KTP sama foto Selfi, tapi nggak bis verifikasi terus.;-1
71;Andhy Prasetiawan;05/03/2022 12:48;1;Sudah foto sampai 100x tetap gagal verifikasi.. harus bagaimanakah? Jikalau aplikasi dibuat untuk mempermudah, knp harus susah verifikasinya;-1
72;Serly Doe;05/03/2022 12:26;1;Knp tdk berhasil2 verifikasi ya.. Pdhal udah berulang2 tetap tidak bisa;-1
73;Sule Suladi;05/03/2022 12:20;1;Verifikasi wajah gagal. Apa yang salah? Kurang terang? Ga ada signal? Bayar pajak aja kok susah. Bpjs juga ada verifikasi wajah. Pegadaian juga. Ga sesusah ini.;-1
74;Pipit Anita;05/03/2022 11:59;1;"Verifikasi nya susah banget asliii... Sampe coba puluhan kali tetep ngga bisa, Foto wajah di KTP sama yang sekarang ya emang agak beda lah soalnya udah bertahun"" foto KTP nya Tolong dong di perbaiki lagi biar ngga sulit kayak gini , posisi saya diluar kota kalau misalkan ngurusnya harus pulang ke kota asal lagi ya jauh dong susah kalo gini..";-1
75;Miftah Yogi;05/03/2022 11:26;1;Gatau lagi dah, developernya cacat, AI buat nyocokin KTP sama wajah gagal terus;-1
76;saptops widjaja;05/03/2022 10:01;1;STNK sampai ke tujuan lebih dari sebulan, itupun karena sudah menghabiskan banyak makan pulsa untuk telepon sana sini (Padahal Alamat Kirim Ada Di Tengah Kota DKI dan Tertulis Lengkap). Kontak pengaduan dari aplikasi ini hanya untuk mempercantik tampilan, karena ndak direspon sama sekali. Terimakasih sudah sempat buat euforia hati saya dengan hadirnya aplikasi ini yang saya pikir awalnya bisa membantu saya berhemat waktu, tenaga, jg biaya untuk urusan surat kendaraan saya.;-1
77;Nirbito Setianto;05/03/2022 8:05;1;Aplikasi ini sulit digunakan, sudah coba berulang kali untuk proses verifikasi foto KTP dan Wajah selalu gagal padahal semua Foto sudah jelas sesuai petunjuknya, jadi belum bisa digunakan.;-1
78;luli rizkiana;05/03/2022 0:34;1;mau daftar online tapi keterangan TIDAK BERHASIL DI DAFTARKAN pendaftaran pengesahan STNK tidak dapat di proses, silahkan ke samsat atau hubungi call center kami;-1
79;Dicken Okta;04/03/2022 22:36;1;Gak Bisa Verifikasi Email. Gak Ada Pemberitahuan. Gimana Solusinya ?;-1
80;Oki Desprian Sardi;04/03/2022 12:50;1;Bukti fisik pembayaran pajak saya udah 2 minggu sampai sekarang gak di kirim2 juga.. tanya ke cs nya jawabannya cmn di suruh bersabar tanpa ada tindakan, kecewa perpanjang pajak disini;-1
81;Mochamad Bagus Firmansyah;04/03/2022 1:22;1;Pertama kali coba untuk melakukan pembayaran pajak kendaraan lewat sistem online langsung dapet pengalaman tidak enak. Sudah melakukan pembayaran tetapi tidak bisa verifikasi, cuma keluar tanda silang tanpa keterangan yang jelas. Semoga masih bisa lanjut proses, dan tidak sampai dipersulit karena kesalahan yang terjadi oleh sistem. Untuk pengembang atau pengelola mohon lebih diperhatikan proses di dalam sistem aplikasinya. Terima kasih.;-1
82;Hartanto Cihuy;03/03/2022 18:52;1;Maaf nih. Kenapa ya kode bayar sudah keluar langsung saya bayar.. tapi kok aplikasinya gak respon.. malah katanya kode bayarnya udah kadaluarsa.. padahal saya bayar posisinya kode bayarnya belom kadaluarsa... Gimana uang udah saya transper di bank... Apa bisa diurus;-1
83;Badru Ulum;03/03/2022 13:00;1;Hallo Saya sudah mendaftar pengesahan dan sudah melakukan pembayaran melalui Livin By Mandiri, akan tetapi keterangan di Apk SIGNAL nya belum di bayar, sedangkan pembayaran saya melalui Livin sudah berhasil dan saldo sudah berkurang, Tolong di perbaiki karna saldo saya sudah terpotong;-1
84;Ryan Adi Nugroho;03/03/2022 10:18;1;Saya sudah bayar pakai MBANKING BNI tetapi status pembayaran belum berubah tolong dong uang saya sudah terpotong;-1
85;Kian Sa;03/03/2022 9:59;1;Lagi apesss...Sudah bayar tapi status di aplikasi tidak terbayar sampai waktunya kadaluarsa. Lalu bagaimana dan kemana uang yang sudah saya bayar via aplikasi blibli? CS dihubungi tidak ada respon, hilang uang nya apa gimana?;-1
86;aditya sulaeman;03/03/2022 7:17;1;gak bisa daftar foto ktp beda , orang jelas2 sama;-1
87;haris Wicaksono;03/03/2022 0:08;1;"Udah daftar sesuai nik trus coba pengesahan malah gagal terus ""anda harus validasi nik dan lainya di samsat "" aneh bener padahal udah sesuai login pake nik yang terdaftar di stnk";-1
88;wendy sukma;02/03/2022 23:15;1;pengiriman nya lambat lama ...saran aja pakai gosend . grab expres atau yg sejenis nya;-1
89;Agus Albahri;02/03/2022 19:56;1;Tidak bisa daftar... No kk sudah di isi,nama, email,no hp,pas di klik lanjut koq ga bisa.. Applikasi apa ini...;-1
90;Dedy Iswanto;02/03/2022 15:43;1;Sudah bayar tetapi belum d proses juga.sampai pembayarn nya kadarluarsa.;-1
91;Susilo Cahyo;02/03/2022 14:22;1;Buluk bet verivikasi wajah gagal terus kenapa sih tolong lah.....!!!!!!!!!!!!!!!! ・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE｡・EE・EE・EE｡・EE・EE・EE､・EE・EE・EE､・EE・EE・EE､;-1
92;Haerul Anwar;02/03/2022 10:35;1;Gk bsa masukin kode OTP sudah 3 kali.. Aneh..;-1
93;direz bee;02/03/2022 10:01;1;Apk gak berjalan sesuai degan bagiku programer nob ・EE・EE､・EE;-1
94;Roby;02/03/2022 9:23;1;Not recommended;-1
95;Nurmalita Sari;01/03/2022 16:22;1;Tidak bisa untuk mendaftarkan yg selain di KK. Kenapa gabisa? Untuk case yg beda KK misal punya mbah. Dan harus org yg di KK tersebut yg urus. Kan ribet. Yg penting kan ada KTP dan STNK. Mau bayar pajak kok susah. Giliran ga dibayar kena denda. Tolong ditambah fitur ini dong yg diluar KK;-1
96;Liu San yuk;01/03/2022 15:53;1;Gk bs verif KTP;-1
97;Nova Monh;01/03/2022 15:49;1;Verifikasi data unvalid;-1
98;jeriko rasmana;01/03/2022 13:17;1;Gak bisa verifikasi wajah, why;-1
99;Zidni sika adzkia;01/03/2022 11:36;1;"Udah ngisi bener"" dan lain"" tapi data tetep salah. Aneh. Mana loadingnya lama banget padahal wifinya kecepatan 50mb.";-1
100;Hendry Heriyanto;01/03/2022 10:34;1;Dokumen tidak saya terima, mengecewakan. Kirim pengaduan tidak ada respon. perlu banyak perbaikan;-1
101;Muhammad Aditya Firmansyah;01/03/2022 9:47;1;Verifikasi ktp sama selfi nya susah;-1
102;muhammad irsyad;01/03/2022 8:25;1;Tolong diperbaiki lagi aplikasinya. Kok Tidak bisa login Karena aplikasi macet tidak bisa foto verifikasi foto e-ktp. Diklik lanjut ketika foto verifikasi ktp malah macet nggak bisa lanjut ke tahap selanjutnya. ・EE・EE・EE・EE・EE・EE・EE・EE;-1
103;Puji Yono;28/02/2022 22:29;1;udah seminggu bukti stnknya gak sampe sampe....keburu ketilang polisi ini mahhh;-1
104;Muhammad Rafiihamdi;28/02/2022 18:12;1;susah bgt buat verifikasi;-1
105;Adina FRP;28/02/2022 15:30;1;Foto wajah asli diambil umur 21 tahun dan foto ktp umur 17 tahun, yang awalnya kurus jadi gendut pipi keliatan lebih cabi verifikasi gagal terus akibat gak sesuai sama ktp, mohon bantu untuk menyelesaikan masalah pembuatan akun SIGNAL pak buk, setiap hari nyoba selalu gagal. Terimakasih;-1
106;Paulus Nbbn;28/02/2022 13:36;1;Saya sudah berulang kali verifikasi wajah tapi knpa tetap ga bisa diverifikasi? Tolonglah sistemnya diperbaharui;-1
107;M. Orlandio Sumaher;28/02/2022 11:23;1;Susah daftar, mending ktp nya dipegang ditangan aja biar bisa liat mirip enggaknya sama wajah asli sm ktp;-1
108;Iyon Arbes;28/02/2022 6:31;1;Tolong ya BPK/ibu apk nya di benerin dulu masak mau daftar gak bisa bisa.!!! Selalu terjadi kesalahan saat menyimpan foto!!!;-1
109;D- Jabrik;26/02/2022 15:10;1;Ribet;-1
110;ROSSY 46;25/02/2022 22:17;1;Tidak bisa ganti nomor tlp, padahal nomorku uda ganti. Gimana nih tim pengembang aplikasinya seharusnya bisa ganti nomor & email;-1
111;Mang Zen;25/02/2022 18:43;1;Aplikasi aneh, udah daftar trus daftar kendaraan pas mau pengesahan kendaraan biar terdaftar online gak bisa sudah di ulang bbrapa kali masih gak bisa. Saya instal ulang malah jadi no hp tidak terdaftar aneh kan awalnya udah tradaftar tolong di perbaiki lagi secepatnya;-1
112;Tiger Claw;25/02/2022 14:04;1;Percuma aj bayar pakai aplikasi signal. Saya sudah bayar pakai aplikasi signal dari tgl 28 januari 2022 sampai sekarang belum ada kejelasan sama sekali jd saya merasa dirugikan karena tidak ada kejelasan sama sekali krn saling lempar sana sini;-1
113;Inok Umairoh;25/02/2022 12:15;1;Tidak bisa untuk membantu pajak motor teman;-1
114;irwansah kurniawan;24/02/2022 22:50;1;gak bisa scan muka jelek bet aplikasinya;-1
115;Mulyono Pekanbaru;24/02/2022 14:25;1;Saya kasih bintang satu aja,saya coba mendaftar susah masuknya pas di ambil poto wajah;-1
116;JV Huzaify;24/02/2022 11:22;1;daftar aja ga berhasil, alesannya foto profil ga sesuai ktp. yakaliiiiiiiiiiii pak;-1
117;Ghundar Muhammad Hasan;24/02/2022 1:39;1;Kenapa daftar gagal di cantumkan email yh?;-1
118;Afifur Rohman;23/02/2022 15:40;1;Kok setiap mau menambahkan data kendaraan selalu gagal ya? Padahal saya sudah mengisi semua persyaratan nya tetapi selalu gagal;-1
119;Danang Agus setiawan;23/02/2022 12:23;1;DAFTARNYA SUSAH BANGET..VERIFIKASI FOTO AJA SAMPE 20X GAGAL TERUS;-1
120;SUARA MILENIAL93;23/02/2022 12:08;1;Auto uninstall. Daftar nya aja susah. Masukkan email, Format salah BLA BLA..... Padahal Email sudah benar・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE・EE;-1
121;Astonneka mfg;23/02/2022 9:12;1;Udah 3x lanjut utk pembayaran...,ga bisa aja Krn sistem lg gangguan. Smntara lg ppkm juga..;-1
122;Ya Ibrahim;23/02/2022 8:38;1;Tolong saat penggunaan kamera verifikasi wajah, diberikan tombol tekan pengambilan gambar. Kedipkan mata berkali-kali tidak ada respon. Untuk daftar diri saja sudah susah sekali.;-1
123;Ryzky raditya;23/02/2022 8:16;1;Tolong dong min klau bisa di perpanjang waktu pembayarannya nggak perlu nunggu 30 hari sebelum jatuh tempo biar lebih efisien.dan kalau bisa pajak 5 tahunan juga.;-1
124;arlan haerudin;22/02/2022 21:45;1;Untuk yg sudah mutasi/ganti plat kendaraan bagaimana caranya;-1
125;Ika Setyo Budiharto;22/02/2022 21:17;1;OTP tidak ada;-1
126;MafiaDave;22/02/2022 12:23;1;parah daftar susah bgt alesannya foto nya h sesuai sama KTP pdhl sama orangnya ・EE・EE・EE・EE;-1
127;Tamiya Speed TV;22/02/2022 11:15;1;Susah login, dll;-1
128;Ganthi Bangalino;22/02/2022 7:55;1;Proses daftar nya sangat ribet, apalagi pas verifikasi wajah sudah diulangi sampai bonyok tetap tidak bisa;-1
129;Septiani Dwi Saputri;22/02/2022 7:29;1;Tak bermanfaat banget;-1
130;Ali Fahmi;22/02/2022 6:49;1;Mau tanya.. Apa manfaat dari teknologi digital ini? Bila saat pencetakan e-samsat harus menyertakan kembali sebagai syarat stnk asli & fc, KTP asli & fc dan fc bukti bayar? Malah jadi ribed. Ga ada bagusnya dong birokrasi disini.;-1
131;Pemuda Lokal;21/02/2022 22:21;1;Aplikasi payah ,,loading lama ,gagal Mulu;-1
132;Indra Suswanto;21/02/2022 21:00;1;Tidak bisa daftar susah sekali.;-1
133;Isnar Sumartono;21/02/2022 18:44;1;Tagihan berhasil dibuat. Tapi saat Pembayaran Ngak berhasil dari BSI dan I.Saku. LINK DOWN Samsat SUMUT;-1
134;dirgantara gultom;21/02/2022 12:08;1;Minim informasi tentang samsat;-1
135;aneuk ach;21/02/2022 12:07;1;mau bertanya, untuk pembayaran pajak bukan atas nama sendiri (alias pemilik sebelumnya) bagaimana ya? karena kendaraan bermotor ini sudah saya bayarkan dgn lunas dan sah・EE・EE・EE・EE・EE・EE・EEｻ・EE・EE・EE・EE・EE・EE・EEｻ・EE・EE・EE・EE・EE・EE・EEｻ mohon penjelasannya min untuk kami ini yang taat akan pajak negara・EE・EE・EE・EE・EE・EE・EEｻ・EE・EE・EE・EE・EE・EE・EEｻ・EE・EE・EE・EE・EE・EE・EEｻ;-1
136;Toko Herman;21/02/2022 11:48;1;Tidak bisa bayar di indomart atau ATM BCA...malu sama negara tetangga bikin app gini aja error mulu;-1
137;Pradita Anggraeni Handayani;21/02/2022 10:38;1;Payah sekali. Pracollection 2 minggu tidak dikirimkan juga STNK. Sampai saya harus datang langsung ke kantor samsat.;-1
138;DATADIK KLARI;21/02/2022 9:32;1;Kode otp sudah 3x kok ngak keluar juga;-1
139;Budi Big Black Biker;21/02/2022 9:10;1;Maintenance sampai jam 08.00 ,,, 21 Feb 22 Sekarang jam berapa ??? Tanggal berapa ??? Apakah Masyarakat Sadar Pajak & Patuh PPKM sudah tidak berlaku lagi ???;-1
140;Said Ali Furqan;20/02/2022 17:43;1;Tidak bisa bayar online;-1
141;Ghea Dwi Puspita;18/02/2022 12:48;1;"Berkali"" verifikasi wajah selalu ditolak karena tidak sesuai dengan foto KTP. Foto KTP 18 tahun sekarang udh lewat 7 tahun. Beda dikit pasti lah, tetep ditolak.";-1
142;Thiya naaa;18/02/2022 10:24;1;Saya mau ngabil sendiri di samsat orang samsat nya pada bingung di oper kesana kemari padahal di signal nya kata nya tinggal ngambil doang segala struk pembayaran di pertanyakan lagi. tolong dong pihak samsat di beri arahan lagi karna masih banyak karyawan nya yg belum paham tetang signal ini;-1
143;luthfi ayatullah;17/02/2022 20:17;1;Pembayarannya susah, gagal terus. Di indomaret kasirnya bingung;-1
144;umma umma;17/02/2022 6:45;1;Berkali kali daftar ga bisa. Katanya foto beda.padahal saya2 jg orangnya. kecewa;-1
145;fariz rifqi;15/02/2022 14:25;1;Selalu gagal saat registrasi, semoga bisa dievaluasi lagi;-1
146;Ilham Novianto;15/02/2022 12:27;1;Ribet cara make nya!;-1
147;CoupleBoy GT;15/02/2022 10:27;1;Kok malah foto identitas dengan ktp berbeda, apa karena yang sekarang lebih gendut daripada dulu, makanya berbeda? Kalo gitu gimana solusinya?;-1
148;Yanuar Teja;15/02/2022 0:03;1;Klau bisa gak usah pake fto ktp yg punya/atas namanya... Sayang klau mau byar pajak aja di bikin susah.. Maritertib berpjak;-1
